id,conversation_id,created_at,date,time,timezone,user_id,username,place,tweet,replies_count,retweets_count,likes_count,hashtags,near,geo,retweet_date
1186106851139739648,1186106851139739648,1571624884000,2019-10-20,22:28:04,EST,1047200229286666240,hailietattrie,,Okay but literally where are the liberal voters? Everyone I meet hates Trudeau whether it be for the reasons I hate him or because they are conservatives- but either way he is hated. I have not once run into someone who is happy to support Trudeau & the liberals.,1,0,5,[],Nova Scotia,,
1186073126985179136,1186073126985179136,1571616844000,2019-10-20,20:14:04,EST,31843822,powercorp,,I'm voting LIBERAL!   It's the logical choice for Leadership!  https://twitter.com/liberal_party/status/1185990758253387778 …,0,0,0,[],Nova Scotia,,
1186050389021462529,1186027573232439297,1571611423000,2019-10-20,18:43:43,EST,438004703,dsteampipe,,"Trudeau paid Omar Khadr $10,000 ,000 for killing American Sergeant Christopher Speer and apologize to the killer Khadr received for killing Speer. Trudeau has to be an embarrassment",0,1,1,[],Nova Scotia,,
1186043871920377864,1186043871920377864,1571609869000,2019-10-20,18:17:49,EST,282240231,warrenhaight,,"Jason Kenney a man who committed election fraud to get his job. 
Abusing his position to encourage protesters to show up to a political event to harass Trudeau.
These people are pathetic. #elxn43",0,0,0,['#elxn43'],Nova Scotia,,
1186030383009320961,1186029965894127618,1571606653000,2019-10-20,17:24:13,EST,29811703,colinmacneil1,,You have my vote! 😁😁 @liberal_party,3,1,1,[],Nova Scotia,,
1185997599020605440,1185997599020605440,1571598837000,2019-10-20,15:13:57,EST,713068172446928897,joe33224654,,It’s crystal clear for liberals to form government  https://twitter.com/CBCKatie/status/1185975487450894337 …,0,0,0,[],Nova Scotia,,
1185929832150061056,1185929832150061056,1571582680000,2019-10-20,10:44:40,EST,40010093,pattidbedwell,,"Indigenous Kids facing discrimination in CWS and Trudeau keeps up the court challenges. Cuts to health, PSE funding, housing and still we have dirty water. Reconciliation not happening.  https://twitter.com/Sheila_Copps/status/1185922617078927360 …",0,0,0,[],Nova Scotia,,
1185913623379615744,1185910811170131968,1571578815000,2019-10-20,09:40:15,EST,242867688,teamadam76,,Liberal math always makes me smile.,1,0,0,[],Nova Scotia,,
1185903101888389121,1185599727791988736,1571576307000,2019-10-20,08:58:27,EST,13953,busybooklife,,How is someone a Liberal shill if they're saying something from the NDP is funny? That doesn't even make sense.,1,0,0,[],Nova Scotia,,
1185901040039800833,1185901040039800833,1571575815000,2019-10-20,08:50:15,EST,242867688,teamadam76,,"A second Liberal govt will cripple our economy for generations.  We can't afford to put this cosplaying manchild back in power.

Get out and vote against the @liberal_party tomorrow. pic.twitter.com/T4OXPe9NbJ",2,7,12,[],Nova Scotia,,
1185888568184655872,1185691258783707142,1571572842000,2019-10-20,08:00:42,EST,1852857780,pleasantpork,,....$7.75.....Liberals got a buck...cons 25 cents....Ndp squat.....all $ goes to food bank.....,1,1,2,[],Nova Scotia,,
1185882096419643392,1185326157736136704,1571571299000,2019-10-20,07:34:59,EST,921117350660677632,symecreative,,Why did/do your #nspoli #Liberals stay silent while @StephenMcNeil waged a war on #nsed and #nshealth and currently the public prosecutors? Is it the actions or the brand that offend you?,0,0,1,"['#nspoli', '#liberals', '#nsed', '#nshealth']",Nova Scotia,,
1185874601622065153,1185874601622065153,1571569512000,2019-10-20,07:05:12,EST,1852857780,pleasantpork,,...Liberal & Cons coalition government after Monday..,1,0,4,[],Nova Scotia,,
1185870631335878657,1185870631335878657,1571568565000,2019-10-20,06:49:25,EST,820810771,nanmcfadgen,,"Liberals no fan of expanding democracy, surprise? Not so much. #nspoli @cupenovascotia https://twitter.com/MichaelTGorman/status/1185520533741490176 …",0,0,0,['#nspoli'],Nova Scotia,,
1185772319840575490,1185764721078755328,1571545126000,2019-10-20,00:18:46,EST,20680254,cr8tivecandy,,Exactly. The real message is conservatives only care about money. They don’t give a rat’s ass about the planet. Just saw the liberal ad and its message is about people. Still not the planet though.,0,0,1,[],Nova Scotia,,
1185752726271135744,1185752726271135744,1571540454000,2019-10-19,23:00:54,EST,282240231,warrenhaight,,"And knew her party could benefit from the lost Liberal vote share.
Quite a conspiracy.  https://twitter.com/MerlinofCanada/status/1185749036747366400 …",0,5,1,[],Nova Scotia,,
1185745026598526976,1185744371561521152,1571538619000,2019-10-19,22:30:19,EST,606507198,esseleblanc,,Idem pour Trudeau,1,0,0,[],Nova Scotia,,
1185741085001302021,1185603693422333952,1571537679000,2019-10-19,22:14:39,EST,2187890709,evanmcfatridge,,"Mmm, sorry. Not a nothing burger. It seems Andrew was scared of #BernierNation and had to resort to sneaky, underhanded tactics to slander him rather than focus on the Liberals and promote his own policies. #elxn43",4,4,35,"['#berniernation', '#elxn43']",Nova Scotia,,
1185739366897012736,1185581691097833472,1571537269000,2019-10-19,22:07:49,EST,2187890709,evanmcfatridge,,"Say what you like about #MSM treatment of #Trudeau (I see the bias myself), but Scheer sure looks bad. He dodges questions just like Trudeau. He has ran a horrible campaign. Sad. 😐 I had high hopes for him. #elx43",1,0,0,"['#msm', '#trudeau', '#elx43']",Nova Scotia,,
1185729054978260992,1185603693422333952,1571534811000,2019-10-19,21:26:51,EST,385649274,mallettdonna,,I wouldn’t vote for Trudeau or NDP liars sweep 🧹 out the trash,0,0,1,[],Nova Scotia,,
1185683530141057027,1185683530141057027,1571523957000,2019-10-19,18:25:57,EST,713068172446928897,joe33224654,,The choice is to vote for Trudeau!!!!!!  https://twitter.com/PierrePoilievre/status/1185674866571264000 …,0,0,0,[],Nova Scotia,,
1185669422083645441,1185631056566861825,1571520593000,2019-10-19,17:29:53,EST,18978197,angns,,That’s why I had to vote Liberal. I couldn’t risk it. I hope he does well though. I’m scared 😬,0,0,1,[],Nova Scotia,,
1185669390756405248,1185510905326592002,1571520586000,2019-10-19,17:29:46,EST,75409188,gforce2002,,This. The Liberals have actually put their money where their mouth is.  Funding in our riding is almost five times higher in the last four years than it was in the 10 years under Harper.,0,5,31,[],Nova Scotia,,
1185655059834724359,1185186239999336448,1571517169000,2019-10-19,16:32:49,EST,776898590413352960,joshuahjeaton,,Not living in an alternate universe. A lot of Liberals are very unhappy with their leadership. My writing was liberal for decades but now it might flip to something else. I'm fearful it's going to flip green or orange that would be devastating,0,0,0,[],Nova Scotia,,
1185645779786047493,1185186239999336448,1571514956000,2019-10-19,15:55:56,EST,776898590413352960,joshuahjeaton,,I was backing Marc garneau for leader of the party because I thought Trudeau was too immature and wasn't a good leader. I respect your opinion so I hope you would respect mine and leave it at that.,1,0,0,[],Nova Scotia,,
1185638729953792002,1185614200954998785,1571513275000,2019-10-19,15:27:55,EST,2905648508,kathyfw6,,Sad to say there are so many untrustworthy and looney people out there  http://today.Ps  Pray for Canada and our election on Monday that we will be free from Trudeau.,0,0,2,[],Nova Scotia,,
1185636693392547840,1185186239999336448,1571512790000,2019-10-19,15:19:50,EST,776898590413352960,joshuahjeaton,,I trust myself just fine. You're the one who can't handle the fact that Liberals are unhappy with the leadership. And instead of actually having a valid point you simply attack people and insult them.,2,0,0,[],Nova Scotia,,
1185636552375975936,1185186239999336448,1571512756000,2019-10-19,15:19:16,EST,776898590413352960,joshuahjeaton,,So instead of having a valid point you resort to insults. I left the party because I was tired of people like you shiting all over other people because we don't agree with everything Lord God Trudeau has to say. Congratulations you are the problem,1,0,0,[],Nova Scotia,,
1185613854467862529,1185613854467862529,1571507345000,2019-10-19,13:49:05,EST,16271356,sdpate,,"Close national ballot race continues. Bloc trending up in Quebec. Trudeau opens 8 point advantage over Scheer as preferred PM. Nanos Poll Oct 18th 

 https://secureservercdn.net/198.71.233.47/823.910.myftpupload.com/wp-content/uploads/2019/10/2019-1445-CTV-Globe-ELXN-2019-10-18.pdf … pic.twitter.com/K0MKrUgVEl",0,1,1,[],Nova Scotia,,
1185609047145353217,1185579671007584256,1571506199000,2019-10-19,13:29:59,EST,2905648508,kathyfw6,,I wish they would do something here in Canada...our election is Monday and Trudeau hast to go!!!!!!,0,0,1,[],Nova Scotia,,
1185594243030511616,1185594243030511616,1571502669000,2019-10-19,12:31:09,EST,883407144325926912,ansellproperty,,"2 Days to Election Day - Go Team Darren‼️#votefordarren #chooseforward #liberal #reelect @darrenfisherns @ Dartmouth, Nova Scotia  https://www.instagram.com/p/B3znsyEnKdsbKIogRQAZsaatdd5qbomZhnYRLk0/?igshid=wq2dpt15dijy …",0,1,4,"['#votefordarren', '#chooseforward', '#liberal', '#reelect']",Nova Scotia,,
1185592874156658688,1185592874156658688,1571502343000,2019-10-19,12:25:43,EST,16504524,ryanmcnutt,,"Both the Liberals and Conservatives finally made it to our door today and I’m like, “advance polls, buds - y’all gotta get on that shit earlier” ¯\_(ツ)_/¯",0,0,20,[],Nova Scotia,,
1185583463187046403,1185583463187046403,1571500099000,2019-10-19,11:48:19,EST,16567390,anhicken,,"Justin Trudeau is a fake progressive. Now Canada must vote for real ones | Martin Lukacs ""The Liberals’ inflated rhetoric against the Conservatives also disguises just how comfortable they are swapping power"" #elxn43 #cdnpoli #LibTorySameStory #UpRiSingh https://www.theguardian.com/commentisfree/2019/oct/18/justin-trudeau-fake-progressive-canada-election …",0,1,3,"['#elxn43', '#cdnpoli', '#libtorysamestory', '#uprisingh']",Nova Scotia,,
