id,conversation_id,created_at,date,time,timezone,user_id,username,place,tweet,replies_count,retweets_count,likes_count,hashtags,near,geo,retweet_date
1186077333662420994,1186038080651907073,1571617847000,2019-10-20,20:30:47,EST,1009785173011988480,clairelavigne8,,"Des discours pour les anglophones qui ne nous connaissent pas!Le p'tit pain, il n'en reste plus BEAUTY Joly! Nous sommes rendus au dessert!
TROP TARD! Zéro tolérance envers le mépris! C'est ASSEZ! POINT FINAL!",0,0,1,[],Quebec,,
1186066225945862145,1186061412789116938,1571615198000,2019-10-20,19:46:38,EST,1009785173011988480,clairelavigne8,,Cette affirmation de Monsieur Blanchet est absolument la piqûre au coeur de Trudeau pour un KO!,0,1,6,[],Quebec,,
1185990762250604544,1185990762250604544,1571597207000,2019-10-20,14:46:47,EST,35896008,dzignx,SQDC,"Justin Trudeau veut continuer d'avancer
#avancer #go http://ici.radio-canada.ca/tele/tout-le-monde-en-parle/site/segments/entrevue/136760/guy-lepage-dany-turcotte-justin-trudeau-chef-parti-liberal-premier-ministre-canada-politique … – at SQDC",0,0,1,"['#avancer', '#go']",Quebec,,
1185932818364489728,1185932818364489728,1571583392000,2019-10-20,10:56:32,EST,607617924,ettorefiorani,,Justin Trudeau has secured the Hollywood Liberal vote. Good thing they all vote in Canada.  https://twitter.com/tomgreenlive/status/1185840962666283008 …,0,0,2,[],Quebec,,
1185574510050922497,1185574510050922497,1571497964000,2019-10-19,11:12:44,EST,4123007608,pilote_alain,,Check bien sortir le vote libéral. Ils vont comprendre le signal..  https://twitter.com/drainvillepm/status/1185572937262346241 …,1,2,1,[],Quebec,,
1185336613083271169,1185315361916362755,1571441245000,2019-10-18,19:27:25,EST,1009785173011988480,clairelavigne8,,"Pour les U.S.A., Trudeau est un voisin tellement sympa et facile à manipuler! Alors, tout président n'hésite pas à intervenir au besoin! Eux, ils sont patriotiques!",0,0,3,[],Quebec,,
1185281829726806016,1185277024912494592,1571428184000,2019-10-18,15:49:44,EST,750460751240888324,sylvainct5,,"La famille libéral PLQ va s'en tirer  comme s'ils n'avaient rien fait, et vont probablement nous poursuivre pour s'en remette encore plus dsns leurs poches.",0,0,1,[],Quebec,,
1185223098737537025,1184979395385200640,1571414181000,2019-10-18,11:56:21,EST,197256159,19kat71,,Oupsss.....me suis trompé 😂😂😂 pic.twitter.com/jhsDD9fqmG,0,0,0,[],Quebec,,
1185154988617719808,1185154988617719808,1571397943000,2019-10-18,07:25:43,EST,234388275,smenardjdq,,L’annus horribilis de Justin Trudeau : la chronique @JoseeLegault | JDQ https://www.journaldequebec.com/2019/10/18/lannus-horribilis-de-justin-trudeau …,0,0,0,[],Quebec,,
1185154585998090240,1185154585998090240,1571397847000,2019-10-18,07:24:07,EST,139814179,antoyac,,"Les libéraux disent que voter bloc fera passer les conservateurs. 
Les conservateurs disent que voter bloc fera passer Trudeau. 

Yé temps que ça finisse parce que c’est rendu plate en tabarouette. #polcan #elxn43",21,21,153,"['#polcan', '#elxn43']",Quebec,,
1185005594320756736,1184619019950870529,1571362324000,2019-10-17,21:32:04,EST,846397088300744705,tremblay4esther,,"Donc, vous répétez ce qu’on vous dit?
Moi, j’avais 20 ans et j’ai été témoin de ce qui se passait et merci au maire de Montréal, au PM québécois, à M. Trudeau et à l’armée!
Un homme a été enlevé, un autre a été assassiné. Vous croyez que le fédéral a mal fait sa job? Preuves svp!",1,0,0,[],Quebec,,
1184970395339890688,1184912553547386881,1571353932000,2019-10-17,19:12:12,EST,150425568,borsalino1947,,un mandat d'inaptitude? tiens...tiens...elles ont ca en commun avec Trudeau...,0,0,0,[],Quebec,,
1184918121410375681,1184807579505041408,1571341469000,2019-10-17,15:44:29,EST,1009785173011988480,clairelavigne8,,"Je viens d'entendre Trudeau à la télé. Il m'apparaît complètement abattu et ""blanc de déception""!
J'essaie d'être neutre: pas capable!",0,0,0,[],Quebec,,
1184815149745618946,1184790556083404803,1571316919000,2019-10-17,08:55:19,EST,607617924,ettorefiorani,,"I found this to be a fair & informative thread. 

Trudeau can try to cling to power if he loses, but the custom is that the winner of the election gets to govern.

 https://twitter.com/philippelagasse/status/1183369989371416582?s=21 …",1,0,1,[],Quebec,,
1184645236699664388,1184577929218531328,1571276408000,2019-10-16,21:40:08,EST,150425568,borsalino1947,,Votre père avait raison d'être traumatise.Les idees de Trudeau  auraient fait bon menage avec celles des nazis a certains egards.,1,0,0,[],Quebec,,
1184606991609749509,1184586789220159489,1571267290000,2019-10-16,19:08:10,EST,1009785173011988480,clairelavigne8,,"A L'ASSNAT, lors du vote pour acceptation de la loi: seul le Parti Québécois a voté POUR  et le Parti Libéral et QS ont été contre!! Vérifiez si vous voulez! Si j'ai tort, me corriger. S.v.p.",1,0,0,[],Quebec,,
1184589965616975873,1184564670369284097,1571263231000,2019-10-16,18:00:31,EST,1009785173011988480,clairelavigne8,,Justine a la panique dans son sac à dos! Il ne peut croire qu'il est possible que c'est lui qui va mettre fin à la familia TRUDEAU!,0,0,0,[],Quebec,,
1184547027541266437,1184528998669389824,1571252993000,2019-10-16,15:09:53,EST,188121156,mo_gagne1,,"HI Mr. President,
All Canadian Liberals candidates proudly post your tweet. I would to. But, if you could please add that #pyrrhotite crumbling foundations victims still need help. They dont hear us, maybe they will hear you! 
Best regards",0,0,1,['#pyrrhotite'],Quebec,,
1184543877975498753,1184543877975498753,1571252242000,2019-10-16,14:57:22,EST,32503689,thibaultjf,,Trudeau is an empty box. I hope our neighbors south of the border support @realDonaldTrump in the next american election. https://twitter.com/BarackObama/status/1184528998669389824 …,0,0,0,[],Quebec,,
1184539392028872704,1184539392028872704,1571251173000,2019-10-16,14:39:33,EST,32503689,thibaultjf,,Content de voir que Barack appuie Justin Trudeau 🙄 #Not #TaYeule.com https://www.lapresse.ca/elections-federales/201910/16/01-5245621-justin-trudeau-recoit-lappui-de-barack-obama.php?utm_source=facebook&utm_medium=social&utm_campaign=algofb …,0,0,0,"['#not', '#tayeule']",Quebec,,
1184536404321341441,1184536404321341441,1571250461000,2019-10-16,14:27:41,EST,4717113855,radisson52,,This is one other proof that 🤳Justin Trudeau is in very deep trouble to get re-elected in 🇨🇦 next monday! It’s a kind of political kiss of death! Mouaghhhhh 😂🤣😂👍  https://twitter.com/BarackObama/status/1184528998669389824 …,7,53,68,[],Quebec,,
1184531541537492993,1184531541537492993,1571249301000,2019-10-16,14:08:21,EST,397675157,abdoulkarim80,,Obama envoie son support à Trudeau..le résultat des élections de lundi prochain sera serré.. à suivre.  https://twitter.com/BarackObama/status/1184528998669389824 …,0,0,2,[],Quebec,,
1184484077619077120,1184183337105133568,1571237985000,2019-10-16,10:59:45,EST,4717113855,radisson52,,Good idea! So 🇨🇦 would start to look like a real country! But the main problem created by the Trudeau dynasty is the constitution which promotes everyone in the 🌎 rights in 🇨🇦 except it forgot the First Nations & Quebec under the entrance carpet! Show leadership to solve this!🤔,0,0,0,[],Quebec,,
1184481927799169025,1184228838265491458,1571237472000,2019-10-16,10:51:12,EST,4717113855,radisson52,,C’est un minimum pour avoir l’air d’un vrai pays! Il faudrait de plus régler le problème constitutionnel causé par la dynastie Trudeau & prendre la suite de Mulroney/Lévesque pour inclure le Québec & les premières nations dans une vraie confédération qui les reconnaisse enfin!,0,0,0,[],Quebec,,
1184434249782517760,1184426094063181824,1571226105000,2019-10-16,07:41:45,EST,1009785173011988480,clairelavigne8,,Les influences de TRUDEAU????,0,0,0,[],Quebec,,
1184236273881571331,1184236273881571331,1571178904000,2019-10-15,18:35:04,EST,607617924,ettorefiorani,,"Singh clearly said he would work with the Liberals to keep Scheer out of power, if the Tories win the election. 

I think this has struck a nerve with Ottawa bubble types, which probably means it’s a good strategy for the Conservatives.  https://twitter.com/stphnmaher/status/1184223659189293063 …",1,0,1,[],Quebec,,
