id,conversation_id,created_at,date,time,timezone,user_id,username,place,tweet,replies_count,retweets_count,likes_count,hashtags,near,geo,retweet_date
1184250370790449153,1184223659189293063,1571182265000,2019-10-15,19:31:05,EST,16278001,madhi19,,It not the crazier scenario out there. How about a Bloc government propped by the NDP and the Green? lolll Because we might has well throw everything at the wall while were at it.,0,0,0,[],Quebec,,
1182454068381392899,1182454068381392899,1570753993000,2019-10-10,20:33:13,EST,139814179,antoyac,,Jagmeet Singh passe son message ... son slogan #elxn43 #polcan #debatdeschefs2019 #debatdeschefs,0,4,3,"['#elxn43', '#polcan', '#debatdeschefs2019', '#debatdeschefs']",Quebec,,
1182447204902014981,1182447204902014981,1570752357000,2019-10-10,20:05:57,EST,139814179,antoyac,,Jagmeet Singh propose d’annuler les subventions aux pétrolières et d’investir dans les énergies propres et les transports en commun #debatdeschefs #debatdeschefs2019 #elxn43,0,2,1,"['#debatdeschefs', '#debatdeschefs2019', '#elxn43']",Quebec,,
1179552761135996929,1179552761135996929,1570062267000,2019-10-02,20:24:27,EST,139814179,antoyac,,Jagmeet Singh sort son côté sympathique #RochVoisine #cute #faceafaceTVA,7,1,12,"['#rochvoisine', '#cute', '#faceafacetva']",Quebec,,
1174419426910691328,1174419051050934272,1568838385000,2019-09-18,16:26:25,EST,39793308,benjaminaubert,,"Xavier Dolan, Luc Ferrandez, Genevieve Schmidt, Michel Charette, Jagmeet Singh et Yves-François Blanchet seront aussi de la première de la saison de #TLMEP dimanche.",0,0,2,['#tlmep'],Quebec,,
1163966243147268097,1163966243147268097,1566346152000,2019-08-20,20:09:12,EST,230334657,djzh,,Home-grown hatred is very real threat and it’s time for the authorities to address this issue and each major party to come clear with their stances on this issue. @NDP  https://twitter.com/WinnipegNews/status/1163406764466933760 …,0,0,0,[],Quebec,,
1163936632262803457,1163525221980299264,1566339092000,2019-08-20,18:11:32,EST,4419361396,niki_lundquist,,Not sure why you are  hijacking my post about a social justice fund for politic posturing. I don't think I could be more clear about where my politics lie. I don't dictate to my employer.,0,0,1,[],Quebec,,
1153655668815122434,1153412457001627648,1563887919000,2019-07-23,09:18:39,EST,2903108628,cedrikverreault,,Québec and Louis-Hébert. Will the lone two - but high profile - Liberal MPs in the Québec City region be defeated by the CPC or will a declining NDP help them in their re-election bid? #CdnPoli,0,0,3,['#cdnpoli'],Quebec,,
1142201117318811653,1137663572664901633,1561156942000,2019-06-21,18:42:22,EST,967092727,9869daniel8787,,"Donnons-lui encore sa chance à Jagmeet Singh.  Il pourrait nous réserver bien des surprises l'automne prochain.  En terminant, je vous souhaite une très bonne retraite.  C'était un plaisir de vous écouter le jeudi au Téléjournal de Radio-Canada.  Vous nous manquerez beaucoup.",0,0,1,[],Quebec,,
1142200992517296128,1137663572664901633,1561156912000,2019-06-21,18:41:52,EST,967092727,9869daniel8787,,"Mais ce n'est pas impossible que Jagmeet Singh puisse relancer le NPD.  Pour cela, Jagmeet Singh ne doit pas faire les erreurs de Thomas Mulcair, son prédécesseur.  Rappelez-vous que Jack Layton a coiffé ses adversaires à la dernière minute et créait la surprise du 2 mai 2011.",0,0,0,[],Quebec,,
1142200853081858048,1137663572664901633,1561156879000,2019-06-21,18:41:19,EST,967092727,9869daniel8787,,"Les élections se gagnent sur le terrain, c'est-a-dire en campagne électorale.  Je préfère attendre la campagne afin mieux le juger.  Bien sur, Jagmeet Singh devra faire une très bonne, voire une excellente campagne électorale pour relancer le NPD.  On le verra l'automne prochain.",0,0,0,[],Quebec,,
1142200477649690624,1137663572664901633,1561156789000,2019-06-21,18:39:49,EST,967092727,9869daniel8787,,"Quant à Jagmeet Singh, le chef du NPD, il faut dire qu'il n'est pas le chef de l'Opposition officielle à Ottawa.  Mais il s'est fait élire lors d'une élection partielle le 25 février dernier.  C'est un bon point de départ.  Mais je crois qu'il faut encore lui donner sa chance.",0,0,0,[],Quebec,,
1142199760788557826,1137663572664901633,1561156618000,2019-06-21,18:36:58,EST,967092727,9869daniel8787,,"J'ai écouté avec intérêt votre commentaire sur Jagmeet Singh comme déception de la session à Ottawa hier au Téléjournal.  Vous avez droit à vos opinions.  À mon avis, Justin Trudeau est de loin une plus grande déception.  Et comment.  Il a très mal géré l'affaire SNC-Lavallin.",0,0,1,[],Quebec,,
1140754350261907456,1123381210313646080,1560812005000,2019-06-17,18:53:25,EST,967092727,9869daniel8787,,Bonne chance au Parti Libéral du Canada.  Il en aura grandement de besoin.  Les Conservateurs d'Andrew Scheer et les Néo-Démocrates de Jagmeet Singh risquent de leur faire la vie dure.  Un gouvernement minoritaire est envisageable dans ces circonstances.  On ne sait jamais.,0,0,0,[],Quebec,,
1134982985940459521,1134982985940459521,1559436005000,2019-06-01,20:40:05,EST,83180342,shawnwlewis,Hilton Québec,Finding mon ami & Montreal Councillor @CraigSauve at #FCM2019 a highlight of my weekend. Many former #NDP staffers working hard at the community level to make a difference in our local communities.  pic.twitter.com/tHi4GFEcLb – at Hilton Québec,1,0,11,"['#fcm2019', '#ndp']",Quebec,,
1134970154104889344,1134970154104889344,1559432946000,2019-06-01,19:49:06,EST,619767390,rjmersereau,,"V. Informative day at #fcm2019. Learned about #cannabis regulation, #affordablehousing challenges & opportunities, and heard the @NDP campaign pitch. And met lots of awesome public service-minded folks from across the country. #mybrainhurts pic.twitter.com/08G0dkqBVg",0,1,5,"['#fcm2019', '#cannabis', '#affordablehousing', '#mybrainhurts']",Quebec,,
1134842994966880257,1134842994966880257,1559402629000,2019-06-01,11:23:49,EST,225835662,councillorraj,,@theJagmeetSingh Thank you for taking the time to chat & it’s always a pleasure speaking with you.  @Rob_Keffer @James_Leduc @TownofBWG @NDP  pic.twitter.com/XYCBfrdBf5,0,0,1,[],Quebec,,
1134839370358382592,1134839370358382592,1559401764000,2019-06-01,11:09:24,EST,466953012,joycurteanu,,"3rd political speaker & leader of NDP Party, Jagmeet Singh, promised low int. financing for cities to adopt zero emission transit & retrofit public buildings, free meds for all in need, and affordable & accessible broadband svcs immediately avail. everywhere, if elected. #FCM2019 pic.twitter.com/tLPk4iX2yh",0,20,26,['#fcm2019'],Quebec,,
1134834619415769089,1134834619415769089,1559400632000,2019-06-01,10:50:32,EST,248826545,selwynjhicks,,"NDP Leader @theJagmeetSingh received a Standing Ovation at the #FCM2019 conference. Support for #rural transportation was one of his strong themes. BTW, check out his 3/4 pant-length, no-sock look. Fashionable!! @GreyCounty @cknxnews @NewsBayshore @OwenSoundST #ONpoli pic.twitter.com/rX1r4xDnkE",0,1,1,"['#fcm2019', '#rural', '#onpoli']",Quebec,,
1134832820508135424,1134832820508135424,1559400203000,2019-06-01,10:43:23,EST,35826823,patrickbrownont,,"At Day 3 of #FCM2019 conference with #TeamBrampton!  We are all pushing for #Brampton’s fair share to the federal @NDP, @liberal_party and @CPC_HQ. @FCM_online #brampoli #onpoli #cdnpoli pic.twitter.com/rKUsmesalH",2,6,20,"['#fcm2019', '#teambrampton', '#brampton', '#brampoli', '#onpoli', '#cdnpoli']",Quebec,,
