id,conversation_id,created_at,date,time,timezone,user_id,username,place,tweet,replies_count,retweets_count,likes_count,hashtags,near,geo,retweet_date
1186083742114287616,1186080506796003333,1571619375000,2019-10-20,20:56:15,EST,607617924,ettorefiorani,,"Scheer shut down the chant.
Did you also find blackface embarrassing?",2,0,1,[],Quebec,,
1186019883525591041,1186019883525591041,1571604150000,2019-10-20,16:42:30,EST,973009246597021701,polygraphruby,,"canadians, go vote tomorrow. it's important. (not for scheer tho)",0,4,8,[],Quebec,,
1186015780598669314,1186004754687778819,1571603171000,2019-10-20,16:26:11,EST,750460751240888324,sylvainct5,,Personne n'a parlé de celà ni mêne prononcé ce mot mis à part scheer de pcc qui va perdre son élection parce qu'il est nulle.,0,0,2,[],Quebec,,
1185212048722071552,1185212048722071552,1571411547000,2019-10-18,11:12:27,EST,49425116,julie_marceau,,« On peux-tu arrêter d’agiter des épouvantails » répond @yfblanchet concernant la sortie de Scheer. #polcan https://twitter.com/pvfoisy/status/1185200234470752258 …,1,14,22,['#polcan'],Quebec,,
1185200833136345088,1185107472710848512,1571408873000,2019-10-18,10:27:53,EST,1009785173011988480,clairelavigne8,,"Merci! Pour le sujet! RESPECT est la  Valeur fondamentale pour toute relation HUMAINE, À mon avis, M.SCHEER présente tjrs une attitude respectueuse! Malgré tout, il m'apparaît un futur PM respectable!",0,0,0,[],Quebec,,
1184864585628692483,1184528998669389824,1571328705000,2019-10-17,12:11:45,EST,4717113855,radisson52,,"Who sent 💵 to Obama to do the tweet pro-🤳Justin? The Bronfmann?  That’s a kind of «Ukrainian style « political intervention in a foreign country election by a former  🇺🇸President not by Joe Bloe! What if it would have been Trump in favor of Scheer, the conservative leader?!🤔",0,0,0,[],Quebec,,
1184619580649607170,1184614973663797248,1571270291000,2019-10-16,19:58:11,EST,4717113855,radisson52,,"Andrew Scheer is the Conservative party leader and a practising Catholic who attends Sunday mass and is an active member of the Knights of Columbus. During the leadership race, Scheer revealed that his children were attending a private faith-based school.  pic.twitter.com/xnqHIi6oRM",0,1,1,[],Quebec,,
1184610161001947136,1184537158289412096,1571268046000,2019-10-16,19:20:46,EST,846397088300744705,tremblay4esther,,"S’il l’avait fait pour Scheer, aurais-tu eu la même réaction?",1,0,0,[],Quebec,,
1184572745364967430,1184572745364967430,1571259125000,2019-10-16,16:52:05,EST,21264435,jeffblanchet,,"Ce serait magique si George W. Bush sortait pour appuyer Andrew Scheer.
#elxn43 #polcan pic.twitter.com/KTEH1xwCYu",3,0,7,"['#elxn43', '#polcan']",Quebec,,
1184480680962674692,1184480680962674692,1571237175000,2019-10-16,10:46:15,EST,973009246597021701,polygraphruby,,"no offense but if u vote for Scheer, i don't respect u",0,2,4,[],Quebec,,
